,movie_id,genre_id
0,1,1
1,1,2
2,1,3
3,1,4
4,1,8
5,2,1
6,2,3
7,2,8
8,3,4
9,3,13
10,4,4
11,4,7
12,4,13
13,5,4
14,6,0
15,6,5
16,6,15
17,7,4
18,7,13
19,8,1
20,8,3
21,9,0
22,10,0
23,10,1
24,10,15
25,11,4
26,11,7
27,11,13
28,12,4
29,12,10
30,13,1
31,13,2
32,13,3
33,14,7
34,15,0
35,15,1
36,15,13
37,16,5
38,16,7
39,17,7
40,17,13
41,18,4
42,19,4
43,20,0
44,20,4
45,20,5
46,20,7
47,20,15
48,21,4
49,21,5
50,21,15
51,22,5
52,22,7
53,22,10
54,22,12
55,22,15
56,23,0
57,23,5
58,23,15
59,24,7
60,24,14
61,25,7
62,25,13
63,26,7
64,27,3
65,27,7
66,28,7
67,28,13
68,29,1
69,29,7
70,29,8
71,29,12
72,29,14
73,30,5
74,30,7
75,31,7
76,32,12
77,32,14
78,32,15
79,34,3
80,34,7
81,36,5
82,36,7
83,38,3
84,38,4
85,39,4
86,39,13
87,40,7
88,41,7
89,41,16
90,42,0
91,42,5
92,42,7
93,43,7
94,44,0
95,44,1
96,44,8
97,45,4
98,45,7
99,45,15
100,46,7
101,46,13
102,47,12
103,47,15
104,48,2
105,48,3
106,48,7
107,48,11
108,48,13
109,49,7
110,49,13
111,50,5
112,50,12
113,50,15
114,52,4
115,52,7
116,52,13
117,53,1
118,53,7
119,54,3
120,54,4
121,55,7
122,57,7
123,58,4
124,58,7
125,58,13
126,60,1
127,60,3
128,60,8
129,61,7
130,61,15
131,62,7
132,63,4
133,63,5
134,64,4
135,64,13
136,65,4
137,66,0
138,66,14
139,66,15
140,68,4
141,68,13
142,69,4
143,70,0
144,70,4
145,70,10
146,70,15
147,71,0
148,72,4
149,72,7
150,73,7
151,73,16
152,74,7
153,74,13
154,75,4
155,75,7
156,76,0
157,76,14
158,76,15
159,77,6
160,78,0
161,78,5
162,78,7
163,78,15
164,79,7
165,79,15
166,80,3
167,80,7
168,81,5
169,81,7
170,81,13
171,82,4
172,82,7
173,83,7
174,83,13
175,85,7
176,85,13
177,86,0
178,86,1
179,86,7
180,87,3
181,87,4
182,88,4
183,89,0
184,89,15
185,92,7
186,92,10
187,92,15
188,93,4
189,93,10
190,93,13
191,94,4
192,94,7
193,94,13
194,95,0
195,95,1
196,95,15
197,96,4
198,96,7
199,97,5
200,97,7
201,99,6
202,100,7
203,100,15
204,101,1
205,101,4
206,101,5
207,101,13
208,102,4
209,103,12
210,103,14
211,103,15
212,104,4
213,105,7
214,105,13
215,106,4
